customer_id,first_order_date,months_since_first_order
690950,2025-03-07,1
42131,2025-03-07,1
230572,2025-03-07,1
951248,2025-03-07,1
1689,2025-03-07,1
560940,2025-03-07,1
591792,2025-03-07,1
155358,2025-03-07,1
698907,2025-03-07,1
199736,2025-03-07,1
561529,2025-03-07,1
734983,2025-03-07,1
359993,2025-03-07,1
842975,2025-03-07,1
870765,2025-03-07,1
20260,2025-03-07,1
977136,2025-03-07,1
364319,2025-03-07,1
439324,2025-03-07,1
373432,2025-03-07,1
782129,2025-03-07,1
576919,2025-03-07,1
497604,2025-03-07,1
916698,2025-03-07,1
737495,2025-03-07,1
131706,2025-03-07,1
803873,2025-03-07,1
698121,2025-03-07,1
530987,2025-03-07,1
639625,2025-03-07,1
410617,2025-03-07,1
541305,2025-03-07,1
296375,2025-03-07,1
52492,2025-03-07,1
452486,2025-03-07,1
97734,2025-03-07,1
567622,2025-03-07,1
572358,2025-03-07,1
956004,2025-03-07,1
139585,2025-03-07,1
250479,2025-03-07,1
516322,2025-03-07,1
166717,2025-03-07,1
149523,2025-03-07,1
971466,2025-03-07,1
999846,2025-03-07,1
870446,2025-03-07,1
366227,2025-03-07,1
255174,2025-03-07,1
286918,2025-03-07,1
829476,2025-03-07,1
789256,2025-03-07,1
6529,2025-03-07,1
984913,2025-03-07,1
404984,2025-03-07,1
514996,2025-03-07,1
841778,2025-03-07,1
713853,2025-03-07,1
949376,2025-03-07,1
538495,2025-03-07,1
187223,2025-03-07,1
991593,2025-03-07,1
415696,2025-03-07,1
270518,2025-03-07,1
738877,2025-03-07,1
514114,2025-03-07,1
67559,2025-03-07,1
998132,2025-03-07,1
177633,2025-03-07,1
64122,2025-03-07,1
231383,2025-03-07,1
479812,2025-03-07,1
471219,2025-03-07,1
219976,2025-03-07,1
857950,2025-03-07,1
14409,2025-03-07,1
179401,2025-03-07,1
911449,2025-03-07,1
964114,2025-03-07,1
380819,2025-03-07,1
676029,2025-03-07,1
536274,2025-03-07,1
961880,2025-03-07,1
374384,2025-03-07,1
513314,2025-03-07,1
988390,2025-03-07,1
57724,2025-03-07,1
732420,2025-03-07,1
101053,2025-03-07,1
360266,2025-03-07,1
332390,2025-03-07,1
764192,2025-03-07,1
14406,2025-03-07,1
50330,2025-03-07,1
663527,2025-03-07,1
55248,2025-03-07,1
508732,2025-03-07,1
755503,2025-03-07,1
937160,2025-03-07,1
770639,2025-03-07,1
450750,2025-03-07,1
777853,2025-03-07,1
283727,2025-03-07,1
429682,2025-03-07,1
167074,2025-03-07,1
673906,2025-03-07,1
585056,2025-03-07,1
611159,2025-03-07,1
509688,2025-03-07,1
974361,2025-03-07,1
614456,2025-03-07,1
850152,2025-03-07,1
989857,2025-03-07,1
761475,2025-03-07,1
402018,2025-03-07,1
441284,2025-03-07,1
201378,2025-03-07,1
481895,2025-03-07,1
936255,2025-03-07,1
169878,2025-03-07,1
61147,2025-03-07,1
181283,2025-03-07,1
26479,2025-03-07,1
343513,2025-03-07,1
882082,2025-03-07,1
18585,2025-03-07,1
361688,2025-03-07,1
832562,2025-03-07,1
356358,2025-03-07,1
537561,2025-03-07,1
792000,2025-03-07,1
857270,2025-03-07,1
316385,2025-03-07,1
887750,2025-03-07,1
425845,2025-03-07,1
345459,2025-03-07,1
160334,2025-03-07,1
301981,2025-03-07,1
713354,2025-03-07,1
989629,2025-03-07,1
40608,2025-03-07,1
940889,2025-03-07,1
915758,2025-03-07,1
495156,2025-03-07,1
343946,2025-03-07,1
176654,2025-03-07,1
628311,2025-03-07,1
121253,2025-03-07,1
826747,2025-03-07,1
870822,2025-03-07,1
244007,2025-03-07,1
533548,2025-03-07,1
552523,2025-03-07,1
73543,2025-03-07,1
669799,2025-03-07,1
623547,2025-03-07,1
969711,2025-03-07,1
46835,2025-03-07,1
290674,2025-03-07,1
729968,2025-03-07,1
922719,2025-03-07,1
295889,2025-03-07,1
144537,2025-03-07,1
441525,2025-03-07,1
92466,2025-03-07,1
612434,2025-03-07,1
919985,2025-03-07,1
263659,2025-03-07,1
187644,2025-03-07,1
323240,2025-03-07,1
416597,2025-03-07,1
736083,2025-03-07,1
629788,2025-03-07,1
372448,2025-03-07,1
133977,2025-03-07,1
124793,2025-03-07,1
218036,2025-03-07,1
283060,2025-03-07,1
551663,2025-03-07,1
174860,2025-03-07,1
460705,2025-03-07,1
716550,2025-03-07,1
855468,2025-03-07,1
74543,2025-03-07,1
291110,2025-03-07,1
833884,2025-03-07,1
227327,2025-03-07,1
570648,2025-03-07,1
162277,2025-03-07,1
572725,2025-03-07,1
925775,2025-03-07,1
52083,2025-03-07,1
938928,2025-03-07,1
476618,2025-03-07,1
666737,2025-03-07,1
913216,2025-03-07,1
367833,2025-03-07,1
811878,2025-03-07,1
447532,2025-03-07,1
89380,2025-03-07,1
125159,2025-03-07,1
174571,2025-03-07,1
632408,2025-03-07,1
710946,2025-03-07,1
759630,2025-03-07,1
783197,2025-03-07,1
23522,2025-03-07,1
915411,2025-03-07,1
612858,2025-03-07,1
948574,2025-03-07,1
792451,2025-03-07,1
881622,2025-03-07,1
872854,2025-03-07,1
650249,2025-03-07,1
900712,2025-03-07,1
847053,2025-03-07,1
314119,2025-03-07,1
454789,2025-03-07,1
438901,2025-03-07,1
860353,2025-03-07,1
947043,2025-03-07,1
221132,2025-03-07,1
494349,2025-03-07,1
818172,2025-03-07,1
68181,2025-03-07,1
751560,2025-03-07,1
345228,2025-03-07,1
969034,2025-03-07,1
798316,2025-03-07,1
457382,2025-03-07,1
287839,2025-03-07,1
102650,2025-03-07,1
812621,2025-03-07,1
891591,2025-03-07,1
95060,2025-03-07,1
850753,2025-03-07,1
842755,2025-03-07,1
861721,2025-03-07,1
250701,2025-03-07,1
694286,2025-03-07,1
972420,2025-03-07,1
933750,2025-03-07,1
310456,2025-03-07,1
29534,2025-03-07,1
982980,2025-03-07,1
993895,2025-03-07,1
62782,2025-03-07,1
133647,2025-03-07,1
616542,2025-03-07,1
278005,2025-03-07,1
767814,2025-03-07,1
482271,2025-03-07,1
955787,2025-03-07,1
272771,2025-03-07,1
560040,2025-03-07,1
415339,2025-03-07,1
362075,2025-03-07,1
273394,2025-03-07,1
282454,2025-03-07,1
390075,2025-03-07,1
429827,2025-03-07,1
124694,2025-03-07,1
890406,2025-03-07,1
693406,2025-03-07,1
28241,2025-03-07,1
783944,2025-03-07,1
768117,2025-03-07,1
334984,2025-03-07,1
822519,2025-03-07,1
553129,2025-03-07,1
179829,2025-03-07,1
755973,2025-03-07,1
917869,2025-03-07,1
901829,2025-03-07,1
376368,2025-03-07,1
518906,2025-03-07,1
715380,2025-03-07,1
586935,2025-03-07,1
495313,2025-03-07,1
191128,2025-03-07,1
346868,2025-03-07,1
172748,2025-03-07,1
594815,2025-03-07,1
783411,2025-03-07,1
623947,2025-03-07,1
810484,2025-03-07,1
806797,2025-03-07,1
321960,2025-03-07,1
769253,2025-03-07,1
512755,2025-03-07,1
529507,2025-03-07,1
262840,2025-03-07,1
933601,2025-03-07,1
109098,2025-03-07,1
665055,2025-03-08,1
729151,2025-03-08,1
243567,2025-03-08,1
591247,2025-03-08,1
706937,2025-03-08,1
595372,2025-03-08,1
374661,2025-03-08,1
811713,2025-03-08,1
546752,2025-03-08,1
674446,2025-03-08,1
798470,2025-03-08,1
801399,2025-03-08,1
260280,2025-03-08,1
209210,2025-03-08,1
280921,2025-03-08,1
639640,2025-03-08,1
252401,2025-03-08,1
653203,2025-03-08,1
681204,2025-03-08,1
188171,2025-03-08,1
26284,2025-03-08,1
487082,2025-03-08,1
95756,2025-03-08,1
308637,2025-03-08,1
297032,2025-03-08,1
516538,2025-03-08,1
427971,2025-03-08,1
900406,2025-03-08,1
369345,2025-03-08,1
390260,2025-03-08,1
59710,2025-03-08,1
481301,2025-03-08,1
681563,2025-03-08,1
515807,2025-03-08,1
936004,2025-03-08,1
106130,2025-03-08,1
115246,2025-03-08,1
741103,2025-03-08,1
917857,2025-03-08,1
4744,2025-03-08,1
892756,2025-03-08,1
890185,2025-03-08,1
552967,2025-03-08,1
487682,2025-03-08,1
437054,2025-03-08,1
425144,2025-03-08,1
301484,2025-03-08,1
452059,2025-03-08,1
94945,2025-03-08,1
500163,2025-03-08,1
408023,2025-03-08,1
872787,2025-03-08,1
334774,2025-03-08,1
37789,2025-03-08,1
974320,2025-03-08,1
543396,2025-03-08,1
756921,2025-03-08,1
764774,2025-03-08,1
897671,2025-03-08,1
318962,2025-03-08,1
202690,2025-03-08,1
663019,2025-03-08,1
331042,2025-03-08,1
764536,2025-03-08,1
464043,2025-03-08,1
948111,2025-03-08,1
678566,2025-03-08,1
250238,2025-03-08,1
733502,2025-03-08,1
279940,2025-03-08,1
146009,2025-03-08,1
300422,2025-03-08,1
536981,2025-03-08,1
947406,2025-03-08,1
228035,2025-03-08,1
325385,2025-03-08,1
940032,2025-03-08,1
108400,2025-03-08,1
876672,2025-03-08,1
271527,2025-03-08,1
83361,2025-03-08,1
568666,2025-03-08,1
352228,2025-03-08,1
511407,2025-03-08,1
123458,2025-03-08,1
577379,2025-03-08,1
194397,2025-03-08,1
583103,2025-03-08,1
788933,2025-03-08,1
137957,2025-03-08,1
200778,2025-03-08,1
885397,2025-03-08,1
650402,2025-03-08,1
683224,2025-03-08,1
303654,2025-03-08,1
160410,2025-03-08,1
511203,2025-03-08,1
725095,2025-03-08,1
735438,2025-03-08,1
361812,2025-03-08,1
742994,2025-03-08,1
826528,2025-03-08,1
822162,2025-03-08,1
507317,2025-03-08,1
99288,2025-03-08,1
75776,2025-03-08,1
747003,2025-03-08,1
475564,2025-03-08,1
416486,2025-03-08,1
23249,2025-03-08,1
765628,2025-03-08,1
985052,2025-03-08,1
100649,2025-03-08,1
872198,2025-03-08,1
926255,2025-03-08,1
816128,2025-03-08,1
638125,2025-03-08,1
558471,2025-03-08,1
488062,2025-03-08,1
907159,2025-03-08,1
444759,2025-03-08,1
993422,2025-03-08,1
855718,2025-03-08,1
230593,2025-03-08,1
557899,2025-03-08,1
547103,2025-03-08,1
507511,2025-03-08,1
757693,2025-03-08,1
894295,2025-03-08,1
874236,2025-03-08,1
507288,2025-03-08,1
645751,2025-03-08,1
314161,2025-03-08,1
427696,2025-03-08,1
156900,2025-03-08,1
67536,2025-03-08,1
814576,2025-03-08,1
974648,2025-03-08,1
660871,2025-03-08,1
563380,2025-03-08,1
515336,2025-03-08,1
601991,2025-03-08,1
407624,2025-03-08,1
736603,2025-03-08,1
744116,2025-03-08,1
535681,2025-03-08,1
886685,2025-03-08,1
443363,2025-03-08,1
429059,2025-03-08,1
112289,2025-03-08,1
421365,2025-03-08,1
74246,2025-03-08,1
229178,2025-03-08,1
643722,2025-03-08,1
958310,2025-03-08,1
284891,2025-03-08,1
693439,2025-03-08,1
975271,2025-03-08,1
360132,2025-03-08,1
81930,2025-03-08,1
366033,2025-03-08,1
653389,2025-03-08,1
216542,2025-03-08,1
559622,2025-03-08,1
253336,2025-03-08,1
268852,2025-03-08,1
346906,2025-03-08,1
318337,2025-03-08,1
242745,2025-03-08,1
55520,2025-03-08,1
476066,2025-03-08,1
125824,2025-03-08,1
614074,2025-03-08,1
793294,2025-03-08,1
510100,2025-03-08,1
642397,2025-03-08,1
624916,2025-03-08,1
209572,2025-03-08,1
967887,2025-03-08,1
715204,2025-03-08,1
315111,2025-03-08,1
400998,2025-03-08,1
506458,2025-03-08,1
805853,2025-03-08,1
877126,2025-03-08,1
868111,2025-03-08,1
154692,2025-03-08,1
618635,2025-03-08,1
963367,2025-03-08,1
609930,2025-03-08,1
558566,2025-03-08,1
21439,2025-03-08,1
335993,2025-03-08,1
44620,2025-03-08,1
860244,2025-03-08,1
311764,2025-03-08,1
993251,2025-03-08,1
621273,2025-03-08,1
727766,2025-03-08,1
934999,2025-03-08,1
672648,2025-03-08,1
501573,2025-03-08,1
507688,2025-03-08,1
412282,2025-03-08,1
178682,2025-03-08,1
811177,2025-03-08,1
879675,2025-03-08,1
851513,2025-03-08,1
493001,2025-03-08,1
488873,2025-03-08,1
852061,2025-03-08,1
32536,2025-03-08,1
500382,2025-03-08,1
570026,2025-03-08,1
757581,2025-03-08,1
106134,2025-03-08,1
184024,2025-03-08,1
14640,2025-03-08,1
786330,2025-03-08,1
712375,2025-03-08,1
312854,2025-03-08,1
103570,2025-03-08,1
192663,2025-03-08,1
396309,2025-03-08,1
91636,2025-03-08,1
449302,2025-03-08,1
801515,2025-03-08,1
865578,2025-03-08,1
899376,2025-03-08,1
539258,2025-03-08,1
836848,2025-03-08,1
125582,2025-03-08,1
316239,2025-03-08,1
23427,2025-03-08,1
136282,2025-03-08,1
479695,2025-03-08,1
496675,2025-03-08,1
420953,2025-03-08,1
701117,2025-03-08,1
957399,2025-03-08,1
881613,2025-03-08,1
551333,2025-03-08,1
539011,2025-03-08,1
766950,2025-03-08,1
865978,2025-03-08,1
998580,2025-03-08,1
189343,2025-03-08,1
720219,2025-03-08,1
129395,2025-03-08,1
484693,2025-03-08,1
752725,2025-03-08,1
275332,2025-03-08,1
462934,2025-03-08,1
763043,2025-03-08,1
611197,2025-03-08,1
64728,2025-03-08,1
464901,2025-03-08,1
189694,2025-03-08,1
48782,2025-03-08,1
454762,2025-03-08,1
380497,2025-03-08,1
865532,2025-03-08,1
299845,2025-03-08,1
481488,2025-03-08,1
238534,2025-03-08,1
986312,2025-03-08,1
833840,2025-03-08,1
794943,2025-03-08,1
200399,2025-03-09,1
250429,2025-03-09,1
365960,2025-03-09,1
778716,2025-03-09,1
930924,2025-03-09,1
857077,2025-03-09,1
317427,2025-03-09,1
778778,2025-03-09,1
265799,2025-03-09,1
445382,2025-03-09,1
265247,2025-03-09,1
89498,2025-03-09,1
776782,2025-03-09,1
668920,2025-03-09,1
596052,2025-03-09,1
395089,2025-03-09,1
476118,2025-03-09,1
947979,2025-03-09,1
357575,2025-03-09,1
756573,2025-03-09,1
533807,2025-03-09,1
19102,2025-03-09,1
812145,2025-03-09,1
141933,2025-03-09,1
921390,2025-03-09,1
657183,2025-03-09,1
692290,2025-03-09,1
27756,2025-03-09,1
71652,2025-03-09,1
310955,2025-03-09,1
962368,2025-03-09,1
566740,2025-03-09,1
470397,2025-03-09,1
318761,2025-03-09,1
630452,2025-03-09,1
483888,2025-03-09,1
347432,2025-03-09,1
706012,2025-03-09,1
366907,2025-03-09,1
351893,2025-03-09,1
860562,2025-03-09,1
382632,2025-03-09,1
309675,2025-03-09,1
327916,2025-03-09,1
231408,2025-03-09,1
25202,2025-03-09,1
250212,2025-03-09,1
450025,2025-03-09,1
785728,2025-03-09,1
791010,2025-03-09,1
658104,2025-03-09,1
944058,2025-03-09,1
795254,2025-03-09,1
361928,2025-03-09,1
228072,2025-03-09,1
873744,2025-03-09,1
41071,2025-03-09,1
958299,2025-03-09,1
108451,2025-03-09,1
290184,2025-03-09,1
6614,2025-03-09,1
511630,2025-03-09,1
511291,2025-03-09,1
709163,2025-03-09,1
139053,2025-03-09,1
512542,2025-03-09,1
655427,2025-03-09,1
437110,2025-03-09,1
349622,2025-03-09,1
169066,2025-03-09,1
94841,2025-03-09,1
641062,2025-03-09,1
382708,2025-03-09,1
637971,2025-03-09,1
892556,2025-03-09,1
913155,2025-03-09,1
15801,2025-03-09,1
195553,2025-03-09,1
787029,2025-03-09,1
394196,2025-03-09,1
357449,2025-03-09,1
277222,2025-03-09,1
821996,2025-03-09,1
469337,2025-03-09,1
901103,2025-03-09,1
973961,2025-03-09,1
269794,2025-03-09,1
494859,2025-03-09,1
520679,2025-03-09,1
732603,2025-03-09,1
793242,2025-03-09,1
242323,2025-03-09,1
554857,2025-03-09,1
100699,2025-03-09,1
319363,2025-03-09,1
624552,2025-03-09,1
942252,2025-03-09,1
289344,2025-03-09,1
253434,2025-03-09,1
504441,2025-03-09,1
393410,2025-03-09,1
92125,2025-03-09,1
818037,2025-03-09,1
488249,2025-03-09,1
649781,2025-03-09,1
474437,2025-03-09,1
861857,2025-03-09,1
427732,2025-03-09,1
956118,2025-03-09,1
489261,2025-03-09,1
980415,2025-03-09,1
193247,2025-03-09,1
4729,2025-03-09,1
393931,2025-03-09,1
513240,2025-03-09,1
132151,2025-03-09,1
127346,2025-03-09,1
174600,2025-03-09,1
517720,2025-03-09,1
349989,2025-03-09,1
697505,2025-03-09,1
841394,2025-03-09,1
690820,2025-03-09,1
584736,2025-03-09,1
806613,2025-03-09,1
5058,2025-03-09,1
275104,2025-03-09,1
898329,2025-03-09,1
168582,2025-03-09,1
382628,2025-03-09,1
320339,2025-03-09,1
254652,2025-03-09,1
409888,2025-03-09,1
738286,2025-03-09,1
429270,2025-03-09,1
836816,2025-03-09,1
154176,2025-03-09,1
409907,2025-03-09,1
918823,2025-03-09,1
886563,2025-03-09,1
824946,2025-03-09,1
590918,2025-03-09,1
442137,2025-03-09,1
608360,2025-03-09,1
439610,2025-03-09,1
194244,2025-03-09,1
972330,2025-03-09,1
72690,2025-03-09,1
743732,2025-03-09,1
466965,2025-03-09,1
149047,2025-03-09,1
928567,2025-03-09,1
911302,2025-03-09,1
858187,2025-03-09,1
490326,2025-03-09,1
926583,2025-03-09,1
916723,2025-03-09,1
335524,2025-03-09,1
566383,2025-03-09,1
103331,2025-03-09,1
567506,2025-03-09,1
359000,2025-03-09,1
921229,2025-03-09,1
971897,2025-03-09,1
653285,2025-03-09,1
751946,2025-03-09,1
800330,2025-03-09,1
726555,2025-03-09,1
390817,2025-03-09,1
272138,2025-03-09,1
446880,2025-03-09,1
596875,2025-03-09,1
11133,2025-03-09,1
543851,2025-03-09,1
555673,2025-03-09,1
356408,2025-03-09,1
729742,2025-03-09,1
165040,2025-03-09,1
60911,2025-03-09,1
510243,2025-03-09,1
396938,2025-03-09,1
195778,2025-03-09,1
360634,2025-03-09,1
716845,2025-03-09,1
937099,2025-03-09,1
625923,2025-03-09,1
341266,2025-03-09,1
425132,2025-03-09,1
147514,2025-03-09,1
343870,2025-03-09,1
707190,2025-03-09,1
455393,2025-03-09,1
266728,2025-03-09,1
339305,2025-03-09,1
308227,2025-03-09,1
126376,2025-03-09,1
192161,2025-03-09,1
291302,2025-03-09,1
442111,2025-03-09,1
572292,2025-03-09,1
656986,2025-03-09,1
510172,2025-03-09,1
195411,2025-03-09,1
725735,2025-03-09,1
66265,2025-03-09,1
460305,2025-03-09,1
692668,2025-03-09,1
945720,2025-03-09,1
706349,2025-03-09,1
478191,2025-03-09,1
290114,2025-03-09,1
114632,2025-03-09,1
579837,2025-03-09,1
641573,2025-03-09,1
126109,2025-03-09,1
445722,2025-03-09,1
906044,2025-03-09,1
898428,2025-03-09,1
869239,2025-03-09,1
267378,2025-03-09,1
544231,2025-03-09,1
59789,2025-03-09,1
681716,2025-03-09,1
14365,2025-03-09,1
878855,2025-03-09,1
529682,2025-03-09,1
176823,2025-03-09,1
918226,2025-03-09,1
28395,2025-03-09,1
901951,2025-03-09,1
916516,2025-03-09,1
461155,2025-03-09,1
256608,2025-03-09,1
49805,2025-03-09,1
515801,2025-03-09,1
954837,2025-03-09,1
468998,2025-03-09,1
258337,2025-03-09,1
176491,2025-03-09,1
445778,2025-03-09,1
885113,2025-03-09,1
748380,2025-03-09,1
674405,2025-03-09,1
100609,2025-03-09,1
670271,2025-03-09,1
810230,2025-03-09,1
432493,2025-03-09,1
19210,2025-03-09,1
780313,2025-03-09,1
99770,2025-03-09,1
431137,2025-03-09,1
580134,2025-03-09,1
992846,2025-03-09,1
650925,2025-03-09,1
625709,2025-03-09,1
863332,2025-03-09,1
762779,2025-03-09,1
741634,2025-03-09,1
72638,2025-03-09,1
609985,2025-03-09,1
218876,2025-03-09,1
40674,2025-03-09,1
817619,2025-03-09,1
267028,2025-03-09,1
652085,2025-03-09,1
84923,2025-03-09,1
332066,2025-03-09,1
39603,2025-03-09,1
96620,2025-03-09,1
338551,2025-03-09,1
23504,2025-03-09,1
701200,2025-03-09,1
185596,2025-03-09,1
243253,2025-03-09,1
204734,2025-03-09,1
71595,2025-03-09,1
215492,2025-03-09,1
231980,2025-03-09,1
78197,2025-03-09,1
366685,2025-03-09,1
735434,2025-03-09,1
998067,2025-03-09,1
10595,2025-03-10,1
897636,2025-03-10,1
756364,2025-03-10,1
905875,2025-03-10,1
144207,2025-03-10,1
288186,2025-03-10,1
500672,2025-03-10,1
798845,2025-03-10,1
866635,2025-03-10,1
309888,2025-03-10,1
386376,2025-03-10,1
44980,2025-03-10,1
283943,2025-03-10,1
703382,2025-03-10,1
951237,2025-03-10,1
223805,2025-03-10,1
602239,2025-03-10,1
114028,2025-03-10,1
579393,2025-03-10,1
174304,2025-03-10,1
166286,2025-03-10,1
1109,2025-03-10,1
555159,2025-03-10,1
718523,2025-03-10,1
171675,2025-03-10,1
944151,2025-03-10,1
886645,2025-03-10,1
841031,2025-03-10,1
374423,2025-03-10,1
660824,2025-03-10,1
874606,2025-03-10,1
195913,2025-03-10,1
370162,2025-03-10,1
713740,2025-03-10,1
596983,2025-03-10,1
415676,2025-03-10,1
519647,2025-03-10,1
482287,2025-03-10,1
105308,2025-03-10,1
554285,2025-03-10,1
707403,2025-03-10,1
581074,2025-03-10,1
401953,2025-03-10,1
981429,2025-03-10,1
718901,2025-03-10,1
794274,2025-03-10,1
573309,2025-03-10,1
577410,2025-03-10,1
405057,2025-03-10,1
411238,2025-03-10,1
266674,2025-03-10,1
115248,2025-03-10,1
656800,2025-03-10,1
746004,2025-03-10,1
566862,2025-03-10,1
547034,2025-03-10,1
945947,2025-03-10,1
7674,2025-03-10,1
396150,2025-03-10,1
268066,2025-03-10,1
794759,2025-03-10,1
281115,2025-03-10,1
445027,2025-03-10,1
868659,2025-03-10,1
676670,2025-03-10,1
210265,2025-03-10,1
709159,2025-03-10,1
804072,2025-03-10,1
867480,2025-03-10,1
643364,2025-03-10,1
877893,2025-03-10,1
659893,2025-03-10,1
310548,2025-03-10,1
758890,2025-03-10,1
316195,2025-03-10,1
423358,2025-03-10,1
161591,2025-03-10,1
262901,2025-03-10,1
372363,2025-03-10,1
29167,2025-03-10,1
524884,2025-03-10,1
638634,2025-03-10,1
473934,2025-03-10,1
409597,2025-03-10,1
