customer_id,order_date,previous_order_date,days_between_orders
303554,2026-03-06,2025-03-12,359
188358,2026-03-06,2025-03-13,358
521700,2026-03-05,2025-03-12,358
764774,2026-03-01,2025-03-08,358
792131,2026-03-06,2025-03-15,356
561529,2026-02-26,2025-03-07,356
425845,2026-02-24,2025-03-07,354
963197,2026-03-05,2025-03-19,351
701416,2026-03-05,2025-03-19,351
996661,2026-02-26,2025-03-13,350
936124,2026-03-03,2025-03-18,350
624946,2026-02-28,2025-03-17,348
661323,2026-02-24,2025-03-14,347
733502,2026-02-18,2025-03-08,347
908875,2026-03-02,2025-03-22,345
15306,2026-03-06,2025-03-26,345
476824,2026-02-27,2025-03-20,344
349506,2026-02-27,2025-03-20,344
381704,2026-02-18,2025-03-11,344
780643,2026-02-26,2025-03-19,344
145222,2026-02-19,2025-03-13,343
163429,2026-02-27,2025-03-21,343
5984,2026-02-19,2025-03-14,342
355708,2026-03-02,2025-03-25,342
138298,2026-02-19,2025-03-15,341
460705,2026-02-10,2025-03-07,340
328555,2026-02-19,2025-03-17,339
187546,2026-02-26,2025-03-25,338
446355,2026-03-06,2025-04-03,337
824899,2026-02-11,2025-03-12,336
901928,2026-02-22,2025-03-23,336
382064,2026-02-26,2025-03-28,335
679688,2026-03-05,2025-04-04,335
337026,2026-02-09,2025-03-11,335
149116,2026-02-23,2025-03-26,334
398598,2026-02-15,2025-03-19,333
737056,2026-02-16,2025-03-20,333
66489,2026-03-03,2025-04-05,332
53407,2026-02-12,2025-03-17,332
491782,2026-02-14,2025-03-20,331
939088,2026-02-25,2025-03-31,331
639625,2026-01-31,2025-03-07,330
672455,2026-02-11,2025-03-19,329
656986,2026-01-31,2025-03-09,328
669725,2026-02-08,2025-03-17,328
991262,2026-02-28,2025-04-06,328
51829,2026-03-05,2025-04-12,327
60261,2026-02-08,2025-03-18,327
607429,2026-03-05,2025-04-13,326
363126,2026-02-01,2025-03-12,326
210265,2026-01-30,2025-03-10,326
318701,2026-02-11,2025-03-23,325
86281,2026-02-17,2025-03-29,325
409196,2026-02-04,2025-03-17,324
290184,2026-01-27,2025-03-09,324
462261,2026-02-25,2025-04-07,324
6450,2026-02-05,2025-03-18,324
649255,2026-03-06,2025-04-17,323
236798,2026-02-26,2025-04-09,323
388358,2026-02-20,2025-04-03,323
82471,2026-02-10,2025-03-27,320
73216,2026-02-23,2025-04-09,320
133585,2026-01-30,2025-03-17,319
428003,2026-01-25,2025-03-12,319
351674,2026-02-13,2025-03-31,319
830236,2026-02-01,2025-03-19,319
736508,2026-02-01,2025-03-19,319
160205,2026-02-19,2025-04-07,318
475811,2026-01-25,2025-03-14,317
792818,2026-02-22,2025-04-11,317
360317,2026-02-19,2025-04-09,316
32410,2026-01-20,2025-03-10,316
476393,2026-03-01,2025-04-20,315
